IMG_SIZE -> 288 (dung augment 'plain')
augment -> modern
[P2_coatnet0_288_modern seed 0] doc lai tu P2_coatnet0_288_modern_seed0.npz (bo qua huan luyen)
   best=0.7113  best_tta=0.7205  smooth=0.7113  smooth_tta=0.7205  top3=0.7166  top3_tta=0.7241
[P2_coatnet0_288_modern seed 1] doc lai tu P2_coatnet0_288_modern_seed1.npz (bo qua huan luyen)
   best=0.7245  best_tta=0.7191  smooth=0.7260  smooth_tta=0.7233  top3=0.7335  top3_tta=0.7271
[P2_coatnet0_288_modern seed 2] doc lai tu P2_coatnet0_288_modern_seed2.npz (bo qua huan luyen)
   best=0.7307  best_tta=0.7201  smooth=0.7438  smooth_tta=0.7415  top3=0.7392  top3_tta=0.7424

>>> P2_coatnet0_288_modern  TEST macro-F1 (quy tac 'best') = 0.7222 +/- 0.0081   tren 3 seed
IMG_SIZE -> 224 (dung augment 'plain')
augment -> modern
[P2b_densenet121_modern seed 0] doc lai tu P2b_densenet121_modern_seed0.npz (bo qua huan luyen)
   best=0.6910  best_tta=0.6877  smooth=0.6814  smooth_tta=0.6866  top3=0.6835  top3_tta=0.6839
  P2b_densenet121_modern OK |   7.0M tham so | dau vao 224x224
[P2b_densenet121_modern seed 1] bat dau huan luyen (80 epoch, batch 32)
  [cong thuc P2] 80 epoch | warmup 5 | LLRD 0.75 | 149 buoc/epoch | EMA decay 0.998658 (cua so ~5 epoch)
  ep 49/80  val raw=0.6474  ema=0.6511  (best=0.6634)  lr=1.10e-04  48s/epoch
  ep 50/80  val raw=0.6382  ema=0.6520  (best=0.6634)  lr=1.04e-04  48s/epoch
  ep 51/80  val raw=0.6557  ema=0.6499  (best=0.6634)  lr=9.77e-05  48s/epoch
  ep 52/80  val raw=0.6392  ema=0.6509  (best=0.6634)  lr=9.19e-05  48s/epoch
  ep 53/80  val raw=0.6701  ema=0.6529  (best=0.6634)  lr=8.61e-05  48s/epoch
  ep 54/80  val raw=0.6473  ema=0.6641  (best=0.6641)  lr=8.05e-05  48s/epoch
  ep 55/80  val raw=0.6441  ema=0.6655  (best=0.6655)  lr=7.50e-05  47s/epoch
  ep 56/80  val raw=0.6401  ema=0.6678  (best=0.6678)  lr=6.96e-05  47s/epoch
  ep 57/80  val raw=0.6485  ema=0.6653  (best=0.6678)  lr=6.44e-05  48s/epoch
  ep 58/80  val raw=0.6517  ema=0.6638  (best=0.6678)  lr=5.93e-05  48s/epoch
  ep 59/80  val raw=0.6530  ema=0.6626  (best=0.6678)  lr=5.44e-05  47s/epoch
  ep 60/80  val raw=0.6579  ema=0.6625  (best=0.6678)  lr=4.96e-05  47s/epoch
  ep 61/80  val raw=0.6507  ema=0.6644  (best=0.6678)  lr=4.51e-05  47s/epoch
  ep 62/80  val raw=0.6566  ema=0.6609  (best=0.6678)  lr=4.07e-05  48s/epoch
  ep 63/80  val raw=0.6579  ema=0.6630  (best=0.6678)  lr=3.65e-05  47s/epoch
  ep 64/80  val raw=0.6624  ema=0.6625  (best=0.6678)  lr=3.24e-05  48s/epoch
  ep 65/80  val raw=0.6562  ema=0.6610  (best=0.6678)  lr=2.86e-05  48s/epoch
  ep 66/80  val raw=0.6573  ema=0.6614  (best=0.6678)  lr=2.51e-05  47s/epoch
  ep 67/80  val raw=0.6481  ema=0.6628  (best=0.6678)  lr=2.17e-05  48s/epoch
  ep 68/80  val raw=0.6360  ema=0.6655  (best=0.6678)  lr=1.86e-05  47s/epoch
  ep 69/80  val raw=0.6616  ema=0.6667  (best=0.6678)  lr=1.56e-05  49s/epoch
  ep 70/80  val raw=0.6469  ema=0.6664  (best=0.6678)  lr=1.30e-05  49s/epoch
  ep 71/80  val raw=0.6498  ema=0.6625  (best=0.6678)  lr=1.05e-05  48s/epoch
  ep 72/80  val raw=0.6544  ema=0.6531  (best=0.6678)  lr=8.34e-06  48s/epoch
  ep 73/80  val raw=0.6328  ema=0.6534  (best=0.6678)  lr=6.40e-06  47s/epoch
  ep 74/80  val raw=0.6443  ema=0.6534  (best=0.6678)  lr=4.71e-06  47s/epoch
  ep 75/80  val raw=0.6543  ema=0.6534  (best=0.6678)  lr=3.28e-06  47s/epoch
  ep 76/80  val raw=0.6525  ema=0.6536  (best=0.6678)  lr=2.10e-06  47s/epoch
  ep 77/80  val raw=0.6500  ema=0.6523  (best=0.6678)  lr=1.18e-06  48s/epoch
  ep 78/80  val raw=0.6409  ema=0.6523  (best=0.6678)  lr=5.26e-07  48s/epoch
  ep 79/80  val raw=0.6517  ema=0.6533  (best=0.6678)  lr=1.32e-07  48s/epoch
  ep 80/80  val raw=0.6535  ema=0.6526  (best=0.6678)  lr=0.00e+00  48s/epoch
[P2b_densenet121_modern seed 1] xong sau 89.2 phut -> P2b_densenet121_modern_seed1.npz   (ca seed 90.7 phut, ngan sach con 7.44 gio)
   best=0.6378  best_tta=0.6540  smooth=0.6353  smooth_tta=0.6628  top3=0.6618  top3_tta=0.6658
  P2b_densenet121_modern OK |   7.0M tham so | dau vao 224x224
[P2b_densenet121_modern seed 2] bat dau huan luyen (80 epoch, batch 32)
  [cong thuc P2] 80 epoch | warmup 5 | LLRD 0.75 | 149 buoc/epoch | EMA decay 0.998658 (cua so ~5 epoch)
  ep 01/80  val raw=0.2385  ema=0.2116  (best=0.2116)  lr=1.20e-04  47s/epoch
